,subj
0,sub-CC00100XX01
1,sub-CC00448XX20
2,sub-CC00380XX10
3,sub-CC00293BN14
4,sub-CC00218BN12
5,sub-CC00195XX15
6,sub-CC00138XX15
7,sub-CC00119XX12
8,sub-CC00203XX05
9,sub-CC00232XX10
10,sub-CC00270XX07
11,sub-CC00421AN09
12,sub-CC00465XX12
13,sub-CC00113XX06
14,sub-CC00430XX10
15,sub-CC00216BN10
16,sub-CC00497XX20
17,sub-CC00428XX16
18,sub-CC00370XX08
19,sub-CC00226XX12
20,sub-CC00457XX12
21,sub-CC00846XX22
22,sub-CC00546XX19
23,sub-CC00595XX19
24,sub-CC00170XX06
25,sub-CC00189XX17
26,sub-CC00371XX09
27,sub-CC00306XX09
28,sub-CC00789XX23
29,sub-CC00102XX03
30,sub-CC00735XX18
31,sub-CC00540XX13
32,sub-CC00304XX07
33,sub-CC00121XX06
34,sub-CC00103XX04
35,sub-CC00147XX16
36,sub-CC00336XX15
37,sub-CC00740XX15
38,sub-CC00341XX12
39,sub-CC00586XX18
40,sub-CC00251XX04
41,sub-CC00852XX11
42,sub-CC00072XX07
43,sub-CC00483XX14
44,sub-CC00416XX12
45,sub-CC00422XX10
46,sub-CC00126XX11
47,sub-CC00332XX11
48,sub-CC00065XX08
49,sub-CC00424XX12
50,sub-CC00299XX20
51,sub-CC00499XX22
52,sub-CC00343XX14
53,sub-CC00507XX12
54,sub-CC00209XX11
55,sub-CC00476XX15
56,sub-CC00069XX12
57,sub-CC00534XX15
58,sub-CC00231XX09
59,sub-CC00300XX03
60,sub-CC00685XX18
61,sub-CC00703XX10
62,sub-CC00180XX08
63,sub-CC00788XX22
64,sub-CC00338BN17
65,sub-CC00188XX16
66,sub-CC00347XX18
67,sub-CC00335XX14
68,sub-CC00216AN10
69,sub-CC00298XX19
70,sub-CC00480XX11
71,sub-CC00486XX17
72,sub-CC00187XX15
73,sub-CC00467XX14
74,sub-CC00705XX12
75,sub-CC00196XX16
76,sub-CC00446XX18
77,sub-CC00576XX16
78,sub-CC00582XX14
79,sub-CC00293AN14
80,sub-CC00433XX13
81,sub-CC00593XX17
82,sub-CC00244XX14
83,sub-CC00154XX06
84,sub-CC00622XX12
85,sub-CC00176XX12
86,sub-CC00238AN16
87,sub-CC00357XX11
88,sub-CC00482XX13
89,sub-CC00744XX19
90,sub-CC00233XX11
91,sub-CC00589XX21
92,sub-CC00498XX21
93,sub-CC00354XX08
94,sub-CC00720XX11
95,sub-CC00185XX13
96,sub-CC00871XX14
97,sub-CC00150AN02
98,sub-CC00731XX14
99,sub-CC00649XX23
100,sub-CC00580XX12
101,sub-CC00411XX07
102,sub-CC00799XX25
103,sub-CC00572BN12
104,sub-CC00417XX13
105,sub-CC00804XX12
